Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2019-02-14
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;5;null;null;null;null;null;
2019-03-31;11;174;924,3;19;8,5;3,2;
2019-04-30;11;134,2;924,2;18,4;8,5;2,8;
2019-05-31;19;404,4;924,6;16;10,6;2,9;
2019-06-30;4;25;913,4;15,5;8,2;3;
2019-07-31;11;94,2;910,9;12,5;9,4;3;
2019-08-31;6;11,8;912,4;13,1;10,2;null;
2019-09-30;7;69,8;909,7;16,9;10;3,9;
2019-10-31;11;207,6;909,1;18,9;10;3,8;
2019-11-30;11;227,6;907,6;19,4;9,3;4,2;
2019-12-31;10;128;907,4;20,4;8,5;3,3;
2020-01-31;12;191,6;907;20,6;7,3;3,1;
2020-02-29;10;144,4;908,8;19,9;7,9;3,5;
2020-03-31;3;49,4;910,1;20,2;9,4;3,5;
2020-04-30;4;83,2;911,1;16,1;8,5;3,2;
2020-05-31;11;133,4;910,9;13,5;7,4;2,8;
2020-06-30;13;300,2;910,5;14,2;9,9;3,2;
2020-07-31;15;211,8;910,8;12,6;9,1;3,2;
2020-08-31;6;179;911,8;14,2;9,3;3,6;
2020-09-30;6;64,2;910;17,6;10;3,9;
2020-10-31;7;43,8;908,3;19,1;11,5;4,1;

